"","SRR2166176","SRR2167642"
"GYPE",0.0447294471783332,0.0765274614718721
"XRCC4",1.00490820790784,1.29520154747596
"ZFC3H1",16.5000316048372,13.0935748367239
"PLAU",0.222828459570436,0.218344521259815
"AHCYL2",9.54585624625873,6.92338520730096
"C10orf82",0.421358442270553,0.661532451684848
"TADA3",6.50653934797986,8.13530655752274
"TBKBP1",6.22717511165722,6.32793420342265
"LGALS14",0,0
"NUPR1",5.42924358605843,5.8111776612215
"SLC25A5-AS1",3.86042127347149,5.03364433887013
"EIF4A2",216.959654778531,182.647913859779
"FAM189A2",0.431630809832464,0.634070521620893
"KRTAP9-4",0,0
"ENTPD7",1.18471267533316,1.14905449779489
"AKR1B1",22.9890782332777,19.8196088823759
"BAG3",13.5636878710458,19.5958218089409
"PARD6A",16.0641240403906,16.4698205912521
"WDR48",10.4186399355229,10.4616473756602
"FBLN5",0.420580927017668,0.46874878310927
"RBMY1F",0,0
"TTC36",0.355353070943032,0.577573760753816
"NDN",1.64018782796655,3.2403573991802
"SLC35E2A",3.6159043910769,7.15120992358515
"PMS2CL",7.59498863756505,5.81973292772204
"ZIC5",27.3093571528641,27.6902783066599
"BASP1",55.5670875771163,47.6062529390277
"PDZK1P1",5.16615819513411,3.73097774423099
"AADACL2",0.00589218511440083,0.00604855187496082
"ARMH4",2.59098500847628,2.86246897949716
"LINC02208",0.0176539265672831,0.0181224263266921
"MAP1LC3B2",9.92593769653611,9.52973480492448
"TM9SF4",13.3311760014304,14.279710569258
"PRMT5-AS1",4.2377300043683,5.11843647319184
"ZNF845",2.29528048321503,1.99477074147402
"OR10A7",0,0
"BVES-AS1",0.114577518720128,0.10454948975859
"PCDHB10",1.75279612401806,1.77134323586809
"LINC02175",0.764909330307241,0.670698916733322
"C1GALT1C1",3.51520831942666,4.03807761406873
"MIR3158-1",0,0
"TMEM176A",0.343538611269061,0.185144103971386
"LINC01569",0.565994995925305,0.526967425444549
"MIR298",0,0
"CADM3",161.916599063749,189.829624626376
"GABRA5",0.115086261781903,0.155059301327986
"FAM83E",0.0236293165006932,0.133410151102092
"ZNF764",1.7180820616793,2.04941180984538
"VPS33B-DT",0.156846565433735,0.16995390043762
"PASD1",0,0
"MPP3",14.7234081702461,21.6160173137023
"MMP23B",0.0131453016784543,0.0539766063491884
"LOC101928791",0,0
"TRPV4",0.023846185726358,0.00815967186962658
"MIR3944",0,0.284001912573392
"RBM43",0.310384622650244,0.461676206405082
"ALG10",0.408465765073501,0.531120459877512
"SNORA70F",0,0.227201530058714
"POLR3F",17.449983921744,20.3014809799389
"IFI16",2.60752230268011,1.99305611181085
"EPHA4",8.89574792670369,8.52682469839096
"MIR4436A",0,0
"CSF1R",2.30286749639007,0.905101028306116
"HOXA7",0.198286325774378,0.216270224589277
